index,type,count
1,Gift,64
2,Salary,49
3,Achievement Reward,36
4,Red Packet,27
5,Red Packet,25
6,Family Fund,24
7,Red Packet,22
8,Red Packet,19
9,Red Packet,18
10,Achievement Reward,14
11,Achievement Reward,10
12,Red Packet,10
13,Salary,10
14,Family Fund,8
15,Family Fund,8
16,Achievement Reward,8
17,Salary,7
18,Red Packet,7
19,Achievement Reward,7
20,Gift,7
21,Achievement Reward,6
22,Salary,6
23,Achievement Reward,6
24,Achievement Reward,6
25,Red Packet,6
26,Achievement Reward,5
27,Family Fund,5
28,Family Fund,4
29,Salary,4
30,Gift,3
31,Family Fund,3
32,Family Fund,3
33,Family Fund,3
34,Salary,3
35,Red Packet,3
36,Gift,3
37,Gift,2
38,Red Packet,2
39,Achievement Reward,2
40,Red Packet,2
41,Salary,2
42,Red Packet,2
43,Family Fund,2
44,Salary,2
46,Achievement Reward,2
47,Gift,2
48,Red Packet,2
49,Red Packet,2
50,Family Fund,1
