id,user_name,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet
1.54438E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101240855,115,13503,TRUE,2022-07-05 17:55:09+00:00,@BillyM2k I find the gold toe sock â€?inevitably off kilter &amp; washed out â€?a little troubling esthetically &amp; arguably a bit corpo,,Twitter for iPhone,335,6542,FALSE
1.54438E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101240806,115,13503,TRUE,2022-07-05 17:47:42+00:00,"Sock Con, the conference for socks",,Twitter for iPhone,1451,30753,FALSE
1.54438E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101240806,115,13503,TRUE,2022-07-05 17:46:15+00:00,Always something new for the magazine cover and the articles practically write themselves,,Twitter for iPhone,1284,28610,FALSE
1.54438E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101240806,115,13503,TRUE,2022-07-05 17:40:05+00:00,@ExplainThisBob This guy gets it,,Twitter for iPhone,131,3640,FALSE
1.54438E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101240806,115,13503,TRUE,2022-07-05 17:38:23+00:00,Sock tech is so advanced that you can get pretty much anything in sock form these days!,,Twitter for iPhone,1191,23790,FALSE
1.54437E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101240806,115,13503,TRUE,2022-07-05 17:36:03+00:00,I must confess to a penchant for creative socks,,Twitter for iPhone,4839,97004,FALSE
1.54433E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101240806,115,13503,TRUE,2022-07-05 14:42:21+00:00,@slashdot Itâ€™s time,,Twitter for iPhone,1537,31194,FALSE
1.54432E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101240806,115,13503,TRUE,2022-07-05 14:00:21+00:00,"@TonyadeVitti @historydefined His success was in fact due, in part, because he was super fun at parties, spoke and wrote incredibly well!",,Twitter for iPhone,171,3196,FALSE
1.54432E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101240806,115,13503,TRUE,2022-07-05 13:46:20+00:00,"@historydefined While bleak posts maybe generate more clicks, more happier moments in history would be nice",,Twitter for iPhone,2347,47623,FALSE
1.54474E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101308933,115,13514,TRUE,2022-07-06 18:02:11+00:00,@mishaboar @boringcompany Supporting Doge wherever possible,,Twitter for iPhone,2081,10679,FALSE
1.54472E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101308934,115,13514,TRUE,2022-07-06 16:25:57+00:00,@PPathole Exactly,,Twitter for iPhone,186,3558,FALSE
1.54464E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101308934,115,13514,TRUE,2022-07-06 10:58:50+00:00,Humanity will reach Mars in your lifetime,,Twitter for iPhone,48747,595082,FALSE
1.54462E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101308934,115,13514,TRUE,2022-07-06 09:33:59+00:00,Flatulence Earther,,Twitter for iPhone,6263,104357,FALSE
1.54453E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101308934,115,13514,TRUE,2022-07-06 04:00:38+00:00,@OwenSparks_ @Tesmanian_com Maybe later this year,,Twitter for iPhone,163,3333,FALSE
1.54451E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101308934,115,13514,TRUE,2022-07-06 02:47:42+00:00,@Tesmanian_com Zip around Vegas super fast with Teslas in tunnels!,,Twitter for iPhone,748,13659,FALSE
1.54451E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101308934,115,13514,TRUE,2022-07-06 02:42:10+00:00,"@EvaFoxU Structural pack is the right overall architecture from a physics standpoint, but it is still far from optimized",,Twitter for iPhone,670,12466,FALSE
1.54517E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101402199,115,13517,TRUE,2022-07-07 22:01:18+00:00,"@WholeMarsBlog Also, being ruggedized for relentless salt spray &amp; extreme winds &amp; storms in deep ocean is not easy",,Twitter for iPhone,255,4915,FALSE
1.54517E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101402199,115,13517,TRUE,2022-07-07 21:59:24+00:00,"@WholeMarsBlog No, itâ€™s dual, high performance terminals, which are important for maintaining the connection in choâ€?https://t.co/TU39WSRyma",,Twitter for iPhone,584,11168,FALSE
1.54515E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101402199,115,13517,TRUE,2022-07-07 21:17:00+00:00,"@JoshSeefried A flying, electric boat would be sickkk",,Twitter for iPhone,451,9190,FALSE
1.54515E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101402199,115,13517,TRUE,2022-07-07 20:59:12+00:00,Starlink for boats! https://t.co/BQujU8Ngna,,Twitter for iPhone,8318,104841,FALSE
1.5451E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101402199,115,13517,TRUE,2022-07-07 17:56:16+00:00,"@EvaFoxU @BillyM2k @tesla_adri Pretty much. A van would have more roof height, so you could stand or sit under it for shade.",,Twitter for iPhone,275,5225,FALSE
1.5451E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101402199,115,13517,TRUE,2022-07-07 17:50:00+00:00,"@BillyM2k Maybe with an optional solar power canopy that extends both sides of the van, tripling roof area",,Twitter for iPhone,561,10458,FALSE
1.54505E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101402199,115,13517,TRUE,2022-07-07 14:27:47+00:00,@micsolana @rmcentush Exactly,,Twitter for iPhone,120,2743,FALSE
1.54505E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101402199,115,13517,TRUE,2022-07-07 14:26:00+00:00,Maybe Tesla should make a highly configurable Robovan for people &amp; cargo?,,Twitter for iPhone,6927,123117,FALSE
1.54505E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101402199,115,13517,TRUE,2022-07-07 14:21:58+00:00,"@PPathole Far too many people are under the illusion that Earth is overpopulated, even though birth rate trends areâ€?https://t.co/5qMLMYg1Cr",,Twitter for iPhone,3491,29475,FALSE
1.54505E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101402199,115,13517,TRUE,2022-07-07 14:19:47+00:00,I hope you have big families and congrats to those who already do!,,Twitter for iPhone,17731,268517,FALSE
1.54505E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101402199,115,13517,TRUE,2022-07-07 14:17:45+00:00,Population of Mars is still zero people!,,Twitter for iPhone,18669,311056,FALSE
1.54505E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101402199,115,13517,TRUE,2022-07-07 14:09:11+00:00,"Mark my words, they are sadly true",,Twitter for iPhone,3968,79553,FALSE
1.54504E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101402199,115,13517,TRUE,2022-07-07 13:43:34+00:00,"@_SuccessMinded_ @pmarca â€œWait A Minute, Doc. Are You Telling Me You Built A Time Machine...Out Of A DeLorean?â€?â€?Back to the Future",,Twitter for iPhone,240,3934,FALSE
1.54479E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101402185,115,13517,TRUE,2022-07-06 21:09:27+00:00,"Highly recommend Revolutions by Mike Duncan, especially Season 10 https://t.co/LoJXYL2HTU",,Twitter for iPhone,4133,37862,FALSE
1.54476E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101402185,115,13517,TRUE,2022-07-06 19:26:56+00:00,"@pmarca The world is actually vastly better than Orwell imagined, but there is also vastly more surveillance",,Twitter for iPhone,2822,44585,FALSE
1.54521E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101491383,115,13517,TRUE,2022-07-08 00:48:09+00:00,@slashdot Great!,,Twitter for iPhone,459,14086,FALSE
1.54519E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101491383,115,13517,TRUE,2022-07-07 23:29:06+00:00,@BillyM2k @slashdot That is indeed the real question,,Twitter for iPhone,563,10505,FALSE
1.54518E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101491383,115,13517,TRUE,2022-07-07 22:44:39+00:00,@BillyM2k I had same great experience from Tokyo to Osaka,,Twitter for iPhone,358,7307,FALSE
1.54517E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101491383,115,13517,TRUE,2022-07-07 22:02:54+00:00,Super fired up for future product development with our awesome Tesla team! Such an honor to work with them.,,Twitter for iPhone,8866,141528,FALSE
1.54543E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101584109,115,13517,TRUE,2022-07-08 15:23:56+00:00,@BLKMDL3 @NickCannon Kids are worth it if at all possible. Iâ€™m planning to increase childcare benefits at my companâ€?https://t.co/lk82cfOXA5,,Twitter for iPhone,1250,11165,FALSE
1.54542E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101584109,115,13517,TRUE,2022-07-08 15:09:58+00:00,"@sm Agreed, this needs to be addressed",,Twitter for iPhone,168,3391,FALSE
1.54542E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101584109,115,13517,TRUE,2022-07-08 14:53:33+00:00,@Liv_Boeree The world has gone mad,,Twitter for iPhone,845,9548,FALSE
1.54542E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101584109,115,13517,TRUE,2022-07-08 14:47:39+00:00,@hiromichimizuno Terrible news,,Twitter for iPhone,1947,54496,FALSE
1.54546E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101626989,115,13537,TRUE,2022-07-08 17:17:34+00:00,@greg_price11 Whoever controls the teleprompter is the real President! https://t.co/1rcqmwLe9S,,Twitter for iPhone,9263,63239,FALSE
1.54545E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101626989,115,13537,TRUE,2022-07-08 17:06:58+00:00,@ScottAdamsSays @NickCannon We know so little today. I want to know the meaning of life or whatever the right questâ€?https://t.co/e5uS0DDB6F,,Twitter for iPhone,379,6076,FALSE
1.54545E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101626989,115,13537,TRUE,2022-07-08 17:01:50+00:00,@ScottAdamsSays @NickCannon But sponges &amp; starfish obv can https://t.co/v7Bbz7vstW,,Twitter for iPhone,320,4954,FALSE
1.54545E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101626989,115,13537,TRUE,2022-07-08 16:56:23+00:00,"@ScottAdamsSays @NickCannon Consciousness can understand the nature of the Universe. Clams, not so much.",,Twitter for iPhone,414,6868,FALSE
1.54543E+18,Elon Musk,"Mars & Cars, Chips & Dips",2009-06-02 20:12:29+00:00,101626989,115,13537,TRUE,2022-07-08 15:41:50+00:00,@Andst7 Interesting. Who is behind the bot attack?,,Twitter for iPhone,504,6742,FALSE
